layer_name,M,N,K
conv1,64,51076,147
layer1.0.conv1,64,3249,64
layer1.0.conv2,64,3249,576
layer1.0.conv3,256,3249,64
layer1.0.downsample.0,256,3249,64
layer1.1.conv1,64,3249,256
layer1.1.conv2,64,3249,576
layer1.1.conv3,256,3249,64
layer1.2.conv1,64,3249,256
layer1.2.conv2,64,3249,576
layer1.2.conv3,256,3249,64
layer2.0.conv1,128,3249,256
layer2.0.conv2,128,3249,1152
layer2.0.conv3,512,841,128
layer2.0.downsample.0,512,3249,256
layer2.1.conv1,128,841,512
layer2.1.conv2,128,841,1152
layer2.1.conv3,512,841,128
layer2.2.conv1,128,841,512
layer2.2.conv2,128,841,1152
layer2.2.conv3,512,841,128
layer2.3.conv1,128,841,512
layer2.3.conv2,128,841,1152
layer2.3.conv3,512,841,128
layer3.0.conv1,256,841,512
layer3.0.conv2,256,841,2304
layer3.0.conv3,1024,225,256
layer3.0.downsample.0,1024,841,512
layer3.1.conv1,256,225,1024
layer3.1.conv2,256,225,2304
layer3.1.conv3,1024,225,256
layer3.2.conv1,256,225,1024
layer3.2.conv2,256,225,2304
layer3.2.conv3,1024,225,256
layer3.3.conv1,256,225,1024
layer3.3.conv2,256,225,2304
layer3.3.conv3,1024,225,256
layer3.4.conv1,256,225,1024
layer3.4.conv2,256,225,2304
layer3.4.conv3,1024,225,256
layer3.5.conv1,256,225,1024
layer3.5.conv2,256,225,2304
layer3.5.conv3,1024,225,256
layer4.0.conv1,512,225,1024
layer4.0.conv2,512,225,4608
layer4.0.conv3,2048,64,512
layer4.0.downsample.0,2048,225,1024
layer4.1.conv1,512,64,2048
layer4.1.conv2,512,64,4608
layer4.1.conv3,2048,64,512
layer4.2.conv1,512,64,2048
layer4.2.conv2,512,64,4608
layer4.2.conv3,2048,64,512
