model name,layer name,total,valid,ratio
ResNet50,layer1.0.conv2,115605504,38289719,3.019231
ResNet50,layer2.3.conv2,115605504,33786987,3.421598
ResNet50,layer3.5.conv2,115605504,16634799,6.949618
ResNet50,layer4.2.conv2,115605504,8866088,13.039066
AlexNet,features.3,223948800,86241498,2.596764
AlexNet,features.6,112140288,28836862,3.888783
AlexNet,features.10,99680256,10238720,9.735617
