model name,layer name,cycles,total
ResNet50,layer1.0.conv2,345230,921600
ResNet50,layer2.3.conv2,326505,1032192
ResNet50,layer3.5.conv2,242596,1179648
ResNet50,layer4.2.conv2,421775,2359296
AlexNet,features.3,818417,1843200
AlexNet,features.6,440183,1327104
AlexNet,features.10,186769,1179648
