Model Name,Param Name,File Size(Bytes),Comp Ratio(BDI1B),Comp Ratio(BDI2B),Comp Ratio(BDIZV)
GoogLeNet_Imagenet_output,ConvReLU2d_0_output0,2569011,1.4512932826078944,1.1207667926767286,1.4746883441766088
GoogLeNet_Imagenet_output,ConvReLU2d_0_output1,2569011,1.540934445234718,1.1289263650817507,1.5221876826198153
GoogLeNet_Imagenet_output,ConvReLU2d_0_output2,2569011,1.4821324606558453,1.1353997429510423,1.489294262663945
GoogLeNet_Imagenet_output,ConvReLU2d_10_output0,321126,1.1522618829204705,0.9974604348170504,2.2059299895058113
GoogLeNet_Imagenet_output,ConvReLU2d_10_output1,321126,1.16102239598635,0.9991178433681892,2.2020891824584115
GoogLeNet_Imagenet_output,ConvReLU2d_10_output2,321126,1.1755162410630564,1.0059447257985434,2.2067088586933643
GoogLeNet_Imagenet_output,ConvReLU2d_11_output0,481689,1.1699030452663903,1.0027814326876634,3.081247016358154
GoogLeNet_Imagenet_output,ConvReLU2d_11_output1,481689,1.1873680188459768,1.0182590000147984,3.1632959318037783
GoogLeNet_Imagenet_output,ConvReLU2d_11_output2,481689,1.188429281538091,1.014659630718025,3.0961438332829805
GoogLeNet_Imagenet_output,ConvReLU2d_12_output0,80281,1.1557624491691552,1.0116855122338613,1.4583713798977849
GoogLeNet_Imagenet_output,ConvReLU2d_12_output1,80281,1.161293823355454,1.0034257707984295,1.4299605565293305
GoogLeNet_Imagenet_output,ConvReLU2d_12_output2,80281,1.1711694949572333,1.0143066579040492,1.432151859204568
GoogLeNet_Imagenet_output,ConvReLU2d_13_output0,240844,1.1831647416592566,1.0164797248103323,3.084327474145935
GoogLeNet_Imagenet_output,ConvReLU2d_13_output1,240844,1.1980901756476252,1.0273241293113193,3.1433899527346822
GoogLeNet_Imagenet_output,ConvReLU2d_13_output2,240844,1.2206131017281063,1.039513979562107,3.133395567901274
GoogLeNet_Imagenet_output,ConvReLU2d_14_output0,160563,1.267762152428116,1.0685341872091707,1.8641290856433592
GoogLeNet_Imagenet_output,ConvReLU2d_14_output1,160563,1.2859992789328205,1.0734793512790504,1.8132031991324384
GoogLeNet_Imagenet_output,ConvReLU2d_14_output2,160563,1.3093787951556606,1.088955223880597,1.8591926147502291
GoogLeNet_Imagenet_output,ConvReLU2d_15_output0,120422,1.191108538607954,1.0057689014023317,2.1849068931721654
GoogLeNet_Imagenet_output,ConvReLU2d_15_output1,120422,1.2013112398401364,1.0119746636460307,2.177614977614977
GoogLeNet_Imagenet_output,ConvReLU2d_15_output2,120422,1.2127476313522823,1.0143793052600534,2.231161646349091
GoogLeNet_Imagenet_output,ConvReLU2d_16_output0,60211,1.1947768233950644,0.9990036532713382,2.084130847111195
GoogLeNet_Imagenet_output,ConvReLU2d_16_output1,60211,1.1934702339179832,0.9987880397788585,2.0761651683260567
GoogLeNet_Imagenet_output,ConvReLU2d_16_output2,60211,1.2085751379259253,0.9948405873792827,2.083291850453858
GoogLeNet_Imagenet_output,ConvReLU2d_17_output0,130457,1.2082980632834437,1.0070958127755514,2.748359738190246
GoogLeNet_Imagenet_output,ConvReLU2d_17_output1,130457,1.2075052479800772,1.0128438087250926,2.779406750767132
GoogLeNet_Imagenet_output,ConvReLU2d_17_output2,130457,1.2175355853926906,1.011163483006698,2.751635624306128
GoogLeNet_Imagenet_output,ConvReLU2d_18_output0,10035,1.1747782729559175,1.0115501519756827,1.227063233577089
GoogLeNet_Imagenet_output,ConvReLU2d_18_output1,10035,1.181346230642941,1.0016051364365959,1.237385552061223
GoogLeNet_Imagenet_output,ConvReLU2d_18_output2,10035,1.1980919809198074,1.014634146341462,1.261462166558742
