model name,layer name,cycles,total
ResNet50,layer1.0.conv2,473059,921600
ResNet50,layer2.3.conv2,441381,1032192
ResNet50,layer3.5.conv2,372219,1179648
ResNet50,layer4.2.conv2,787124,2359296
AlexNet,features.3,1338077,1843200
AlexNet,features.6,738450,1327104
AlexNet,features.10,330521,1179648
