Model Name,Param Name,File Size(Bytes),Comp Ratio(BDI1B),Comp Ratio(BDI2B),Comp Ratio(BDIZV),Comp Ratio(EBDI)
GoogLeNet_Imagenet_output,ConvReLU2d_0_output0,2569011,1.3910982943483112,1.0970439990246448,1.436259405681811,1.5166323330650848
GoogLeNet_Imagenet_output,ConvReLU2d_0_output1,2569011,1.469027392512261,1.0985104240384678,1.480390321444622,1.5803302720237355
GoogLeNet_Imagenet_output,ConvReLU2d_0_output2,2569011,1.4203406424100609,1.1049333094192624,1.4554735851368281,1.5413116502386026
GoogLeNet_Imagenet_output,ConvReLU2d_10_output0,321126,1.1199763461933463,0.9966965549787635,2.189011438604865,1.9953290415211848
GoogLeNet_Imagenet_output,ConvReLU2d_10_output1,321126,1.1270297525898243,0.9973871032886459,2.1870037988685995,1.990382089140441
GoogLeNet_Imagenet_output,ConvReLU2d_10_output2,321126,1.138258355578977,1.0005454279115722,2.191542541163018,1.9886081712676893
GoogLeNet_Imagenet_output,ConvReLU2d_11_output0,481689,1.1236511009022891,0.996960461157136,3.0739809736542947,2.855235780550698
GoogLeNet_Imagenet_output,ConvReLU2d_11_output1,481689,1.1320781102965523,1.0014980969698104,3.157083526896944,2.9368636865973095
GoogLeNet_Imagenet_output,ConvReLU2d_11_output2,481689,1.134406079194151,1.001575150263097,3.0844336364153024,2.860271499661516
GoogLeNet_Imagenet_output,ConvReLU2d_12_output0,80281,1.1294216984036236,1.0076272622836586,1.4463081352129423,1.3990076939670666
GoogLeNet_Imagenet_output,ConvReLU2d_12_output1,80281,1.134745355314877,0.9984635385888191,1.4177626639579557,1.3812890206489419
GoogLeNet_Imagenet_output,ConvReLU2d_12_output2,80281,1.1419221274446332,1.004034603764379,1.4219103997661329,1.3963363048570163
GoogLeNet_Imagenet_output,ConvReLU2d_13_output0,240844,1.1329652353903408,1.0011205891097035,3.080470064419552,2.8577761754062676
GoogLeNet_Imagenet_output,ConvReLU2d_13_output1,240844,1.1388352820978545,1.0011205891097035,3.137108766146514,2.908533022066051
